Dataset,Model,SampleMethod,MGU@5,DGU@5,DivRatio@5,ORRatio@5,PredictNotInRatio@5,NDCG@5,HR@5,Predict_NotIn_Ratio
Goodreads,SPRec,SelfPlay,0.0171033417420234,0.068019604785077,0.1438,0.1252,0.802,0.0038234658187877,0.006,0.802
Goodreads,clusterout_low_SmolLM2-360M_Instruct,clusterout_low_SmolLM2-360M_Instruct,0.0158182011979704,0.0756182293856939,0.1004,0.1708,0.868,0.0132938364755175,0.02,0.868
Goodreads,clusterout_low_SmolLM2-135M_Instruct,clusterout_low_SmolLM2-135M_Instruct,0.016316670546575186,0.07230407774811462,0.1586,0.123,0.786,0.004023719014285829,0.006,0.786
