Dataset,Model,SampleMethod,MGU@5,DGU@5,DivRatio@5,ORRatio@5,PredictNotInRatio@5,NDCG@5,HR@5,Predict_NotIn_Ratio
Goodreads,SPRec_SmolLM2-360M_Instruct,,0.0100466380163724,0.0449202588050978,0.32,0.027,0.943,0.0083791356769527,0.012,0.943
Goodreads,clusterout_low_SmolLM2-360M_Instruct,,0.0101690576057284,0.0454708789553671,0.2644,0.036,0.926,0.0124206372520446,0.018,0.926
Goodreads,SPRec_SmolLM2-360M_Instruct_new,,0.010006195928074587,0.04101720790425298,0.315,0.0246,0.969,0.013375006024770344,0.022,0.969
