Dataset,Model,SampleMethod,MGU@5,DGU@5,DivRatio@5,ORRatio@5,PredictNotInRatio@5,NDCG@5,HR@5,Predict_NotIn_Ratio
Goodreads,clusterout_low_Llama-3.2-1B-Instruct,,0.0161433869731021,0.0527726260981711,0.2688,0.0508,0.719,0.0013613531161467,0.003,0.719
Goodreads,clusterout_low_Llama-3.2-1B-Instruct_SPRec_set,,0.0180101785744808,0.0601050772223241,0.2572,0.0644,0.73,0.0044306765580733,0.007,0.73
Goodreads,clusterout_low_Llama-3.2-1B-Instruct_SPRec_set_2,,0.0182244470867388,0.060152155111066,0.2616,0.053,0.706,0.0013868528072345,0.003,0.706
Goodreads,clusterout_low_Llama-3.2-1B-Instruct_CHES_set,,0.0172948824061878,0.0587467428410008,0.2626,0.065,0.731,0.0035616063116448,0.006,0.731
Goodreads,clusterout_low_Llama-3.2-1B-Instruct_CHES_data,,0.0203302140166265,0.0610928734505385,0.224,0.0972,0.731,0.0026232126232897,0.005,0.731
Goodreads,clusterout_low_Llama-3.2-1B-Instruct_CHES_data_use_origin_set,,0.016922125452369687,0.04981007421208877,0.178,0.2312,0.4,0.0016309297535714576,0.002,0.4
