Dataset,Model,SampleMethod,MGU@5,DGU@5,DivRatio@5,ORRatio@5,PredictNotInRatio@5,NDCG@5,HR@5,Predict_NotIn_Ratio
Goodreads,SPRec_SmolLM2-135M_Instruct,,0.0105451195069317,0.0380231246363594,0.3216,0.0184,0.92,0.0088211436430407,0.015,0.92
Goodreads,clusterout_low_SmolLM2-135M_Instruct,,0.012077370665197,0.0406424604270478,0.2954,0.0218,0.895,0.0043791356769527,0.008,0.895
Goodreads,SPRec_SmolLM2-135M_Instruct_new,,0.010931468360483363,0.04793915256489409,0.3218,0.02,0.965,0.007123212623289702,0.01,0.965
