Dataset,Model,SampleMethod,MGU@5,DGU@5,DivRatio@5,ORRatio@5,PredictNotInRatio@5,NDCG@5,HR@5,Predict_NotIn_Ratio,MGU@10,DGU@10,DivRatio@10,ORRatio@10,PredictNotInRatio@10,NDCG@10,HR@10
Goodreads,SPRec,SelfPaly,0.0233515072189074,0.0826458137245563,0.1256,0.0906,0.7,0.0137381666173525,0.022,0.7,,,,,,,
Goodreads,clusterout_low,clusterout_low,0.018808636402733343,0.06816938822296181,0.1394,0.102,0.79,0.020105456186979172,0.031,0.79,0.01300413150204,0.0455004838488395,0.1049,0.0686,0.79,0.021989621232506,0.037
